Distance,Class,Horse Name,Time,Weight(lbs),Date
1200,1,DOMINEER,1.07.45,123,16.5.2015
1200,2,WINNER SUPREME,1.07.27,119,19.4.2020
1200,3,DEHERE'S THE LOVE,1.07.40,133,25.3.2015
1200,4,HAPPY TOUR,1.08.14,133,2.12.2018
1200,5,TRILLION TREASURE,1.08.46,130,25.3.2015
1650,1,GUN PIT,1.36.34,132,18.11.2015
1650,2,HONGKONG GREAT,1.36.15,119,8.5.2021
1650,3,TRUE LEGEND,1.36.79,112,12.11.2022
1650,4,MISSION BRAVO,1.37.74,121,6.3.2022
1650,5,APOLAR WARRIOR,1.38.30,119,19.9.2021
1800,1,EXCEL KID,1.49.40,116,20.5.1998
1800,2,SICHUAN VIGOUR,1.47.67,117,27.5.2015
1800,3,PARTY EVERYDAY,1.46.46,115,30.3.2022
1800,4,MISSION BRAVO,1.47.45,126,30.3.2022
1800,5,LUCKY BOLE,1.47.67,125,1.7.2015
2000,1,-,-,-,-
2000,2,-,-,-,-
2000,3,DYNAMIC FUN,2.01.30,116,26.12.2002
2000,4,WADADELIGHT,2.01.80,131,21.5.2005
2000,5,-,-,-,-
2400,1,-,-,-,-
2400,2,FAT CHOY TOGETHER,2.31.80,133,18.3.2000
2400,3,PRODIGY,2.30.00,122,11.5.2002
2400,4,WINNING YEARS,2.29.10,115,12.5.1999
2400,5,TREASURE SPRING,2.31.50,114,18.2.1998
