Distance(M),Class,Standard Times,Start-2000M,2000-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
Distance(M),Class,Standard Times,,,,Start-800M,800-400M,400M-Finish
1200,Class 1,-,,,,-,-,-
1200,Class 2,1.08.35,,,,23.35,21.95,23.05
1200,Class 3,1.08.55,,,,23.30,22.05,23.20
1200,Class 4,1.08.95,,,,23.30,22.10,23.55
1200,Class 5,1.09.35,,,,23.35,22.35,23.65
Distance(M),Class,Standard Times,,,Start-1200M,1200-800M,800-400M,400M-Finish
1650,Class 1,1.37.80,,,27.80,22.85,23.25,23.90
1650,Class 2,1.38.40,,,27.90,23.55,23.05,23.90
1650,Class 3,1.38.60,,,27.90,23.00,23.75,23.95
1650,Class 4,1.39.05,,,27.95,23.15,23.80,24.15
1650,Class 5,1.39.45,,,27.95,23.20,24.00,24.30
Distance(M),Class,Standard Times,,Start-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
1800,Class 1,-,,-,-,-,-,-
1800,Class 2,-,,-,-,-,-,-
1800,Class 3,1.48.05,,13.75,22.80,23.70,23.85,23.95
1800,Class 4,1.48.55,,13.60,23.10,24.05,23.65,24.15
1800,Class 5,1.49.45,,13.75,23.20,23.95,24.25,24.30
