Distance,Class,Horse Name,Time,Weight(lbs),Date
1000,2,VALIANT DREAM,0.54.68,119,16.5.2021
1200,G2,KA YING RISING,1.07.12,128,6.4.2026
1400,G1,KA YING RISING,1.19.36,126,22.2.2026
1600,1,PRECIOUSSHIP,1.32.24,116,11.7.2021
1800,G3,SOUTHERN LEGEND,1.45.25,127,3.11.2019
2000,G1,WIN BRIGHT,1.58.81,126,28.4.2019
2200,2,BEAUTY GENERATION,2.12.42,128,9.4.2017
2400,HK G1,VIVA PATACA,2.24.60,126,3.6.2007
