Distance,Class,Horse Name,Time,Weight(lbs),Date
1000,Group/Listed,SUPER WEALTHY,0.54.96,115,1.10.2021
1000,1,SACRED KINGDOM,0.54.70,116,31.3.2007
1000,2,VALIANT DREAM,0.54.68,119,16.5.2021
1000,3,VOYAGE WARRIOR,0.54.89,119,22.4.2019
1000,4,UNITED WE STAND,0.54.94,123,16.5.2021
1000,5,UNITED WE STAND,0.55.64,123,21.6.2020
1000,Griffin,CALIFORNIA SPANGLE,0.55.33,126,13.6.2021
1200,Group/Listed,KA YING RISING,1.07.12,128,6.4.2026
1200,1,LUCKY PATCH,1.07.61,115,11.7.2021
1200,2,YOUNG CHAMPION,1.07.74,122,29.3.2026
1200,3,VICTOR THE WINNER,1.08.11,122,20.11.2022
1200,4,JUBILANT WINNER,1.08.36,123,14.9.2025
1200,5,IRON KING,1.08.64,131,26.9.2021
1200,Griffin,CALIFORNIA SPANGLE,1.08.47,133,4.7.2021
1400,Group/Listed,KA YING RISING,1.19.36,126,22.2.2026
1400,1,ENCOURAGING,1.19.92,117,9.11.2019
1400,2,PACKING HERMOD,1.19.92,128,23.3.2025
1400,3,PRECIOUSSHIP,1.20.62,123,20.10.2019
1400,4,TOP DRAGON,1:20.76,133,20.4.2025
1400,5,FIGHT TIME,1.21.40,122,14.9.2025
1400,Griffin,JOLLY WONGCHOY,1.22.30,120,24.6.2007
1600,Group/Listed,MY WISH,1.32.55,115,19.10.2025
1600,1,PRECIOUSSHIP,1.32.24,116,11.7.2021
1600,2,NOT USUAL TALENT,1.32.96,116,16.6.2019
1600,3,BEAUTY FIT,1.33.19,130,4.7.2021
1600,4,BRIGHT INHERITANCE,1:33.28,129,20.4.2025
1600,5,NINJA DERBY,1.34.35,123,28.9.2025
1600,Griffin,JOYFUL SPIRIT,1.35.80,125,1.6.2002
1800,Group/Listed,SOUTHERN LEGEND,1.45.25,127,3.11.2019
1800,1,HELLO PRETTY,1.46.60,131,15.10.2006
1800,2,CALIFORNIATOTALITY,1:45.84,116,20.4.2025
1800,3,GLORIOUS FOREVER,1.46.18,128,16.6.2018
1800,4,CROWN AVENUE,1.46.54,126,15.9.2019
1800,5,ON THE LASH,1.47.33,122,26.10.2025
2000,Group/Listed,ROMANTIC WARRIOR,1:59.23,128,20.11.2022
2000,1,DARK DREAM,1.59.66,129,7.4.2019
2000,2,GLORIOUS FOREVER,1.59.53,126,8.7.2018
2000,3,WINNING WING,1.59.77,125,26.10.2025
2000,4,FULL POWER,2.00.67,125,22.11.2020
2000,5,HAPPY HERO,2.01.28,129,2.6.2024
2200,1,MAZAL,2.14.60,127,30.1.1999
2200,2,BEAUTY GENERATION,2.12.42,128,9.4.2017
2200,3,TAKE TO THE LIMIT,2.16.06,129,12.4.2015
2200,4,PLAY IT,2.13.69,120,20.5.2018
2200,5,FORTUNE PATROL,2.14.31,110,4.7.2021
2400,Group/Listed,VIVA PATACA,2.24.60,126,3.6.2007
2400,1,PRIVILEGE,2.26.10,126,19.5.1996
2400,2,WANG TAK SUPREME,2.29.70,126,15.4.1995
2400,3,-,-,-,-
2400,4,CUPID,2.31.00,123,1.5.2003
2400,5,-,-,-,-
