race_id,horse_id,clean_name,won,draw,actual_weight,declared_weight,horse_rating,last_win_rating,ST_win_rate,HV_win_rate,last_form_going,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,surface,days_since_last_run,class_diff,rating_diff,gear_changed,recent_avg_pos,recent_win_rate,distance_win_rate,gear_win_rate,jockey_win_rate,trainer_win_rate,venue,going,config,norm_implied_prob,prev_run_vet_finding
3030,3666,ULTIMATE GLORY,0.0,5.0,123.0,1040.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,1.0,77.0,0.0,0.0,0,6.5,0.0,0.0,0.0,0.0463968410661401,0.0679166666666666,ST,GOOD,A,0.0153255420851097,0.0
3062,3666,ULTIMATE GLORY,0.0,4.0,127.0,1032.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,15.0,0.0,0.0,0,8.333333333333334,0.0,0.0,0.0,0.0461095100864553,0.0678883798417326,ST,GOOD TO FIRM,C+3,0.0137013747834793,0.0
3092,3666,ULTIMATE GLORY,0.0,14.0,111.0,1033.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,13.0,0.0,0.0,0,8.25,0.0,0.0,0.0,0.0463815789473684,0.0678601165695254,ST,GOOD TO FIRM,A+3,0.008232757434602,0.0
3149,3666,ULTIMATE GLORY,0.0,9.0,114.0,1026.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,24.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0674536256323777,0.0678318768206408,HV,GOOD,A,0.0093740531183377,0.0
3266,3666,ULTIMATE GLORY,0.0,13.0,123.0,1030.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,45.0,1.0,0.0,0,10.5,0.0,0.0,0.0,0.0460873739798367,0.0678036605657237,ST,GOOD,A+3,0.0081532364325892,0.0
3495,3666,ULTIMATE GLORY,0.0,11.0,120.0,1000.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,95.0,0.0,0.0,0,10.75,0.0,0.0,0.0,0.0673400673400673,0.0677754677754677,HV,GOOD,C,0.0104449371971676,0.0
3680,3666,ULTIMATE GLORY,0.0,8.0,121.0,1033.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,73.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0672268907563025,0.0677472984206151,ST,GOOD TO FIRM,B+2,0.0081262005653592,0.0
3741,3666,ULTIMATE GLORY,0.0,2.0,120.0,1030.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,23.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0460652591170825,0.0677191524719568,ST,GOOD,A+3,0.0196852887964385,0.0
3767,3666,ULTIMATE GLORY,0.0,1.0,110.0,1017.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,9.0,0.0,0.0,0,11.75,0.0,0.0,0.0,0.083864118895966,0.0676910299003322,HV,GOOD TO FIRM,B,0.0160543336906828,0.0
2762,3667,ULTIMATE POWER,0.0,1.0,127.0,1038.0,100.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,30.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0460431654676259,0.0676629306766293,ST,GOOD,C,0.0144537152618093,0.0
2827,3667,ULTIMATE POWER,0.0,2.0,129.0,1035.0,100.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,27.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0391236306729264,0.0544109878499735,ST,GOOD,A+3,0.0112436065035962,0.0
2874,3667,ULTIMATE POWER,0.0,3.0,129.0,1043.0,100.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,0.0,1,5.5,0.0,0.0,0.0,0.0543478260869565,0.0543822597676874,ST,GOOD,A,0.0106221318528513,0.0
2929,3667,ULTIMATE POWER,0.0,10.0,126.0,1049.0,100.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,0.0,0,5.666666666666667,0.0,0.0,0.0,0.0542941757156959,0.054353562005277,ST,GOOD TO YIELDING,C+3,0.0117524813485889,0.0
2977,3667,ULTIMATE POWER,0.0,9.0,129.0,1027.0,100.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,0.0,0,6.25,0.0,0.0,0.0,0.054240631163708,0.0543248945147679,ST,GOOD TO FIRM,C,0.0181785451851939,0.0
3062,3667,ULTIMATE POWER,0.0,3.0,125.0,1047.0,47.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,85.0,0.0,-53.0,1,7.0,0.0,0.0,0.0,0.0446096654275092,0.0542962572482867,ST,GOOD TO FIRM,C+3,0.0108168748290626,0.0
3109,3667,ULTIMATE POWER,0.0,10.0,120.0,1046.0,45.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,20.0,0.0,-2.0,1,7.5,0.0,0.0,0.0,0.0384923817161186,0.0542676501580611,HV,GOOD TO FIRM,B,0.0120665883277494,0.0
3176,3667,ULTIMATE POWER,0.0,4.0,118.0,1050.0,43.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,28.0,0.0,-2.0,0,8.0,0.0,0.0,0.0,0.0391032325338894,0.0542390731964191,ST,GOOD,B+2,0.0081323907166633,0.0
3285,3667,ULTIMATE POWER,0.0,3.0,113.0,1057.0,40.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,44.0,0.0,-3.0,0,8.25,0.0,0.0,0.0,0.0695876288659793,0.0542105263157894,ST,GOOD,B+2,0.0081515660953122,0.0
3322,3667,ULTIMATE POWER,1.0,4.0,133.0,1069.0,37.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,15.0,1.0,-3.0,0,8.75,0.0,0.0,0.0,0.0390828556539864,0.0541820094687006,HV,GOOD,B,0.0449859162632975,0.0
3379,3667,ULTIMATE POWER,0.0,1.0,115.0,1062.0,42.0,37.0,0.0,0.5,GOOD,Happy Valley,0.0,0.1,Turf,0.0,21.0,-1.0,5.0,0,7.25,0.25,0.5,0.2,0.0395833333333333,0.0546792849631966,HV,GOOD,A,0.0548998634778276,0.0
3454,3667,ULTIMATE POWER,0.0,13.0,115.0,1071.0,42.0,37.0,0.0,0.3333333333333333,GOOD,Happy Valley,0.0,0.0909090909090909,Turf,0.0,32.0,0.0,0.0,0,7.25,0.25,0.0,0.1666666666666666,0.0395627277459656,0.0546505517603783,ST,GOOD,C+3,0.0081580964579663,0.0
3518,3667,ULTIMATE POWER,0.0,8.0,116.0,1066.0,42.0,37.0,0.0,0.3333333333333333,GOOD,Happy Valley,0.0,0.0833333333333333,Turf,0.0,28.0,0.0,0.0,0,8.0,0.25,0.3333333333333333,0.1428571428571428,0.0395421436004162,0.0546218487394958,ST,GOOD,C,0.0081637223375033,0.0
3542,3667,ULTIMATE POWER,0.0,11.0,114.0,1052.0,41.0,37.0,0.0,0.3333333333333333,GOOD,Happy Valley,0.0,0.0769230769230769,Turf,0.0,10.0,0.0,-1.0,0,8.5,0.25,0.0,0.125,0.0395215808632345,0.0545931758530183,HV,GOOD TO YIELDING,B,0.0180984932429304,0.0
3580,3667,ULTIMATE POWER,0.0,1.0,132.0,1057.0,39.0,37.0,0.0,0.25,GOOD,Happy Valley,0.0,0.0714285714285714,Turf,1.0,14.0,1.0,-2.0,0,10.5,0.0,0.0,0.1111111111111111,0.0395010395010395,0.0545645330535152,ST,WET SLOW,A,0.1330499599820217,0.0
3621,3667,ULTIMATE POWER,0.0,3.0,115.0,1045.0,41.0,37.0,0.0,0.25,WET SLOW,Happy Valley,0.0,0.0714285714285714,Turf,0.0,14.0,-1.0,2.0,0,9.0,0.0,0.0,0.1,0.0394805194805194,0.0545359202936549,HV,GOOD,B,0.0410979285801691,0.0
3674,3667,ULTIMATE POWER,0.0,11.0,112.0,1055.0,41.0,37.0,0.0,0.2,WET SLOW,Happy Valley,0.0,0.0666666666666666,Turf,0.0,21.0,0.0,0.0,0,7.75,0.0,0.0,0.0909090909090909,0.0394600207684319,0.0545073375262054,HV,GOOD,A,0.0221893808579162,0.0
3750,3667,ULTIMATE POWER,0.0,4.0,133.0,1044.0,40.0,37.0,0.0,0.1666666666666666,WET SLOW,Happy Valley,0.0,0.0625,Turf,0.0,29.0,1.0,-1.0,0,7.25,0.0,0.25,0.0833333333333333,0.0653930933137399,0.0544787847040335,HV,GOOD TO FIRM,A,0.1661338065507717,0.0
3830,3667,ULTIMATE POWER,0.0,7.0,118.0,1071.0,42.0,37.0,0.0,0.1428571428571428,GOOD TO FIRM,Happy Valley,0.0,0.0588235294117647,Turf,0.0,94.0,-1.0,2.0,0,5.5,0.0,0.2,0.0769230769230769,0.1519371992909597,0.0544502617801047,ST,GOOD TO FIRM,A,0.0301922887100171,0.0
3871,3667,ULTIMATE POWER,0.0,10.0,115.0,1062.0,42.0,37.0,0.0,0.1428571428571428,GOOD TO FIRM,Happy Valley,0.0,0.0555555555555555,Turf,0.0,14.0,0.0,0.0,0,7.25,0.0,0.1666666666666666,0.0714285714285714,0.0394395433316035,0.0544217687074829,HV,GOOD TO FIRM,B,0.0248243537657225,0.0
3940,3667,ULTIMATE POWER,0.0,8.0,133.0,1059.0,40.0,37.0,0.0,0.125,GOOD TO FIRM,Happy Valley,0.0,0.0526315789473684,Turf,0.0,28.0,1.0,-2.0,0,8.0,0.0,0.1428571428571428,0.0666666666666666,0.0394190871369294,0.0543933054393305,ST,GOOD TO FIRM,B+2,0.0301929760670631,0.0
4007,3667,ULTIMATE POWER,0.0,7.0,131.0,1059.0,38.0,37.0,0.0,0.125,GOOD TO FIRM,Happy Valley,0.0,0.05,Turf,0.0,24.0,0.0,-2.0,0,8.5,0.0,0.125,0.0625,0.0384615384615384,0.0543648719289074,HV,GOOD TO FIRM,B,0.0582199789020173,0.0
4100,3667,ULTIMATE POWER,0.0,6.0,132.0,1061.0,38.0,37.0,0.0,0.1111111111111111,GOOD TO FIRM,Happy Valley,0.0,0.0476190476190476,Turf,0.0,35.0,0.0,0.0,0,8.75,0.0,0.1111111111111111,0.0588235294117647,0.1518987341772152,0.0543364681295715,HV,GOOD,C,0.137692595281906,0.0
4185,3667,ULTIMATE POWER,0.0,8.0,130.0,1077.0,37.0,37.0,0.0,0.1,GOOD TO FIRM,Happy Valley,0.0,0.0454545454545454,Turf,0.0,35.0,0.0,-1.0,0,8.25,0.0,0.1,0.0555555555555555,0.1518602885345482,0.054308093994778,HV,GOOD,C,0.0679699075945268,0.0
4231,3667,ULTIMATE POWER,0.0,4.0,128.0,1078.0,35.0,37.0,0.0,0.0909090909090909,GOOD TO FIRM,Happy Valley,0.0,0.0434782608695652,Turf,1.0,18.0,0.0,-2.0,0,7.75,0.0,0.0909090909090909,0.0526315789473684,0.1226754649070186,0.0542797494780793,ST,GOOD,A,0.0737563547833073,0.0
4324,3667,ULTIMATE POWER,0.0,7.0,127.0,1067.0,34.0,37.0,0.0,0.0909090909090909,GOOD,Happy Valley,0.0,0.0434782608695652,Turf,1.0,35.0,0.0,-1.0,0,5.25,0.0,0.0,0.05,0.0393986521513737,0.0542514345331246,ST,GOOD,A,0.0814513796163563,0.0
4368,3667,ULTIMATE POWER,0.0,6.0,126.0,1065.0,33.0,37.0,0.0,0.0909090909090909,GOOD,Happy Valley,0.0,0.0434782608695652,Turf,0.0,21.0,0.0,-1.0,0,5.75,0.0,0.0,0.0476190476190476,0.0393782383419689,0.05422314911366,ST,GOOD,A+3,0.0479810082280926,0.0
4508,3667,ULTIMATE POWER,1.0,1.0,125.0,1063.0,31.0,37.0,0.0,0.0909090909090909,GOOD,Happy Valley,0.0,0.0416666666666666,Turf,1.0,52.0,0.0,-2.0,0,6.25,0.0,0.0,0.0454545454545454,0.0384307445956765,0.0541948931735278,ST,GOOD,A,0.154202553764695,0.0
4576,3667,ULTIMATE POWER,0.0,6.0,132.0,1073.0,36.0,31.0,0.0588235294117647,0.0909090909090909,GOOD,Happy Valley,0.25,0.0416666666666666,AWT,1.0,91.0,0.0,5.0,0,4.5,0.25,0.0833333333333333,0.0869565217391304,0.0398757120662869,0.0546875,ST,GOOD,A,0.1316444530232454,0.0
4633,3667,ULTIMATE POWER,0.0,11.0,129.0,1074.0,36.0,31.0,0.0555555555555555,0.0909090909090909,GOOD,Happy Valley,0.2,0.0416666666666666,AWT,1.0,21.0,0.0,0.0,0,5.5,0.25,0.1666666666666666,0.0833333333333333,0.0398550724637681,0.0546590317542946,ST,GOOD,A,0.0428661505263501,0.0
4650,3667,ULTIMATE POWER,0.0,2.0,131.0,1063.0,36.0,31.0,0.0526315789473684,0.0909090909090909,GOOD,Happy Valley,0.1666666666666666,0.0416666666666666,AWT,0.0,7.0,0.0,0.0,0,5.5,0.25,0.0769230769230769,0.08,0.0843200574094008,0.054630593132154,HV,GOOD,B,0.0913626129601644,0.0
4736,3667,ULTIMATE POWER,0.0,4.0,128.0,1068.0,35.0,31.0,0.0526315789473684,0.0833333333333333,GOOD,Happy Valley,0.1666666666666666,0.04,AWT,0.0,35.0,0.0,-1.0,0,4.5,0.25,0.0714285714285714,0.0769230769230769,0.0398344542162441,0.0546021840873634,HV,GOOD TO FIRM,C,0.0580405278331446,0.0
4789,3667,ULTIMATE POWER,0.0,11.0,126.0,1077.0,33.0,31.0,0.0526315789473684,0.0769230769230769,GOOD,Happy Valley,0.1666666666666666,0.0384615384615384,AWT,0.0,21.0,0.0,-2.0,0,7.0,0.0,0.1428571428571428,0.074074074074074,0.044776119402985,0.0545738045738045,HV,GOOD TO FIRM,B,0.0129772606691882,0.0
4883,3667,ULTIMATE POWER,0.0,7.0,124.0,1078.0,31.0,31.0,0.0526315789473684,0.0714285714285714,GOOD,Happy Valley,0.1666666666666666,0.037037037037037,AWT,1.0,39.0,0.0,-2.0,0,6.25,0.0,0.125,0.0714285714285714,0.0398138572905894,0.0545454545454545,ST,FAST,A,0.0809185991110743,0.0
5313,3667,ULTIMATE POWER,0.0,1.0,122.0,1030.0,29.0,31.0,0.05,0.0714285714285714,GOOD,Happy Valley,0.1428571428571428,0.037037037037037,AWT,0.0,168.0,0.0,-2.0,0,7.25,0.0,0.0666666666666666,0.0689655172413793,0.073076923076923,0.0545171339563862,ST,GOOD TO FIRM,B+2,0.034003179407938,0.0
5363,3667,ULTIMATE POWER,0.0,8.0,118.0,1042.0,25.0,31.0,0.0476190476190476,0.0714285714285714,GOOD,Happy Valley,0.1428571428571428,0.0357142857142857,AWT,1.0,69.0,0.0,-4.0,0,8.5,0.0,0.1111111111111111,0.0666666666666666,0.0397932816537467,0.054488842760768,ST,GOOD,A,0.0570802795527728,0.0
5388,3667,ULTIMATE POWER,0.0,5.0,117.0,1042.0,24.0,31.0,0.0454545454545454,0.0714285714285714,GOOD,Happy Valley,0.125,0.0357142857142857,AWT,1.0,15.0,0.0,-1.0,1,7.5,0.0,0.1,0.0,0.0397727272727272,0.054460580912863,ST,WET SLOW,A,0.066962390290199,0.0
5453,3667,ULTIMATE POWER,0.0,6.0,120.0,1046.0,25.0,31.0,0.0434782608695652,0.0714285714285714,WET SLOW,Happy Valley,0.1111111111111111,0.0357142857142857,AWT,0.0,28.0,0.0,1.0,1,7.0,0.0,0.0625,0.0,0.0397521941146102,0.0544323483670295,HV,GOOD,A,0.1581858683101152,0.0
5493,3667,ULTIMATE POWER,0.0,3.0,118.0,1053.0,25.0,31.0,0.0434782608695652,0.0666666666666666,WET SLOW,Happy Valley,0.1111111111111111,0.0344827586206896,AWT,1.0,17.0,0.0,0.0,0,6.25,0.0,0.0909090909090909,0.0,0.1518218623481781,0.0544041450777202,ST,GOOD,A,0.0812529526300828,0.0
5539,3667,ULTIMATE POWER,0.0,13.0,116.0,1062.0,23.0,31.0,0.0416666666666666,0.0666666666666666,WET SLOW,Happy Valley,0.1,0.0344827586206896,AWT,1.0,18.0,0.0,-2.0,0,5.25,0.0,0.0588235294117647,0.0,0.054673721340388,0.0543759709994821,ST,GOOD,A,0.028734097231319,0.0
5567,3667,ULTIMATE POWER,0.0,1.0,114.0,1049.0,21.0,31.0,0.04,0.0666666666666666,WET SLOW,Happy Valley,0.0909090909090909,0.0344827586206896,AWT,0.0,10.0,0.0,-2.0,0,5.75,0.0,0.0555555555555555,0.0,0.0545774647887323,0.0543478260869565,HV,GOOD,B,0.0893902920662783,0.0
5624,3667,ULTIMATE POWER,0.0,1.0,115.0,1060.0,21.0,31.0,0.04,0.0625,GOOD,Happy Valley,0.0909090909090909,0.0333333333333333,AWT,1.0,24.0,0.0,0.0,0,6.0,0.0,0.0833333333333333,0.0,0.0463663268661624,0.0543197102948784,ST,GOOD,A,0.1062288039016436,0.0
5659,3667,ULTIMATE POWER,1.0,12.0,115.0,1063.0,21.0,31.0,0.0384615384615384,0.0625,GOOD,Happy Valley,0.0833333333333333,0.0333333333333333,AWT,1.0,15.0,0.0,0.0,0,6.75,0.0,0.0526315789473684,0.0,0.0679245283018867,0.0542916235780765,ST,WET SLOW,A,0.0581270022192005,0.0
5722,3667,ULTIMATE POWER,0.0,5.0,122.0,1055.0,21.0,21.0,0.074074074074074,0.0625,WET SLOW,Sha Tin,0.1538461538461538,0.0333333333333333,AWT,0.0,24.0,0.0,0.0,0,5.5,0.25,0.1,0.1111111111111111,0.1077844311377245,0.0547803617571059,HV,GOOD,B,0.1165001684725762,0.0
