Distance,Class,Horse Name,Time,Weight(lbs),Date
1200,2,WINNER SUPREME,1.07.27,119,19.4.2020
1650,2,HONGKONG GREAT,1.36.15,119,8.5.2021
1800,3,PARTY EVERYDAY,1.46.46,115,30.3.2022
2000,3,DYNAMIC FUN,2.01.30,116,26.12.2002
2400,3&4,WINNING YEARS,2.29.10,115,12.5.1999
