clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
ALPHA STRIKE,64.0,0.1666666666666666,0.0,Sha Tin,0.0,0.1666666666666666,TURF,GOOD TO FIRM,7.5,0.0,2026-05-09,4.0,69.0,H/XB1/TT,0.25,0.0,L019,3.333333333333333,0.0,1.0,['TT1'],6.0,27.0,14.0,12/09/2026,Gallop,33.0 (33.0) (R.B.),0.0,
ALWAYS FLUKE,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,4.0,0.0,2026-09-09,4.0,35.0,B/H/TT,0.0,0.0,H252,5.5,0.0,1.0,[],5.0,21.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ALWAYS MY FOLKS,31.0,0.0,0.0909090909090909,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,5.75,0.25,2026-07-08,4.0,38.0,B/TT,0.25,0.0,J345,3.75,0.2,1.0,['B/TT'],7.0,30.0,29.0,14/09/2026,Gallop,27.9 24.8 (52.7) (Z Purton),0.0,
AMAZING GAZE,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.5,0.0,2026-06-13,4.0,48.0,B,0.0,0.0,K444,6.083333333333333,0.0,1.0,[],,,,,,,,
AMAZING PARTNERS,,,,,,,,,,,,,,,,0.0,K554,,,1.0,,5.0,27.0,28.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ANODE,57.0,0.0909090909090909,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD,7.5,0.25,2026-06-27,4.0,57.0,B/TT,0.1666666666666666,0.0,K367,4.5,0.1111111111111111,1.0,['B/TT'],7.0,31.0,28.0,12/09/2026,Trotting,SmT 2 Round - Fast (E C W Wong),0.0,
ANOTHER ZONDA,60.0,0.0,0.2222222222222222,Happy Valley,0.0,0.2,TURF,GOOD,3.5,0.5,2026-07-08,4.0,60.0,B,0.25,1.0,K176,4.416666666666667,0.1666666666666666,1.0,['B'],,,,,,,,
APEX GLORY,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,11.333333333333334,0.0,2026-07-01,4.0,50.0,TT,0.0,0.0,L265,4.333333333333333,0.0,1.0,[],4.0,30.0,21.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
AQUAMAN,,,,,,,,,,,,,,,,1.0,K523,,,1.0,,5.0,28.0,18.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ARMOR GOLDEN EAGLE,75.0,0.0,0.6,Happy Valley,0.0,0.3,TURF,GOOD TO FIRM,2.5,0.5,2026-06-03,4.0,82.0,B,0.0,0.0,K566,6.6,0.4285714285714285,1.0,['B'],7.0,23.0,0.0,14/09/2026,Gallop,32.2 27.5 25.7 (1.25.4) (A Atzeni),0.0,
