clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
CONGHUA GALAXY,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.0,0.0,,4.0,,,0.0,1.0,L337,6.0,0.0,1.0,[],6.0,24.0,1.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CONRAD THE GREAT,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.0,0.0,2026-07-15,4.0,38.0,SR/TT,0.0,0.0,K217,6.916666666666667,0.0,1.0,[],,,,,,,,
COPARTNER FLEET,55.0,0.0,0.1428571428571428,Happy Valley,0.0,0.0833333333333333,TURF,GOOD TO FIRM,8.0,0.0,2026-07-15,4.0,58.0,XB/V1,0.0,0.0,K342,5.333333333333333,0.0,1.0,['CP-/XB1'],,,,,,,,
COPARTNER PRANCE,,,,,,,,,,,,,,,,0.0,H408,,,1.0,,4.0,27.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DAILY FUN,,,,,,,,,,,,,,,,1.0,L231,,,1.0,,7.0,30.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DAILY TROPHY,,,,,,,,,,,,,,,,1.0,H283,,,1.0,,3.0,28.0,23.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
DAN ATTACK,41.0,0.0,0.1818181818181818,Happy Valley,0.0,0.1666666666666666,TURF,GOOD TO FIRM,3.25,0.0,2026-05-27,4.0,50.0,XB,0.2,0.0,H317,5.25,0.25,1.0,['XB'],5.0,25.0,30.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
DANCING BLAZE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,6.5,0.0,2026-05-31,4.0,52.0,XB1/TT,0.0,0.0,L364,5.5,0.0,1.0,[],4.0,28.0,22.0,12/09/2026,Trotting,AWT 1 Round - Fast (R.B.),0.0,
DANCING CLASSICS,63.0,0.25,0.4,Happy Valley,0.0,0.3333333333333333,TURF,GOOD,8.25,0.25,2026-07-08,4.0,63.0,B1/TT,0.5,1.0,J060,6.666666666666667,1.0,1.0,"['B1/TT', 'SR/TT', 'TT1']",4.0,30.0,21.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
DASH,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,9.25,0.0,2026-09-09,4.0,30.0,B/TT-,0.0,1.0,K250,7.25,0.0,1.0,[],,,,,,,,
DASHING PEACH,,,,,,,,,,,,,,,,0.0,L066,,,1.0,,4.0,20.0,23.0,25/09/2026,Gallop,26.6 (26.6) (R.B.),0.0,
DAY DAY VICTORY,51.0,0.125,0.25,Happy Valley,0.1428571428571428,0.2,TURF,WET FAST,7.0,0.0,2026-07-04,4.0,48.0,,0.125,0.0,J423,7.083333333333333,0.0,1.0,[],7.0,28.0,28.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DAZZLING FIT,69.0,0.25,0.0,Sha Tin,0.0,0.25,TURF,GOOD,6.0,0.0,2026-03-22,4.0,80.0,XB,0.0,0.0,K298,8.833333333333334,0.2727272727272727,1.0,['XB'],5.0,24.0,29.0,14/09/2026,Gallop,31.8 27.1 (58.9) (R.B.),0.0,
DECISION LINK,46.0,0.0,0.5,Happy Valley,0.0,0.1666666666666666,TURF,GOOD,5.5,0.25,2026-09-09,4.0,52.0,V-/TT,0.3333333333333333,0.0,K416,6.833333333333333,0.0,1.0,"['V/TT', 'V1/TT']",,,,,,,,
DEFINITIVE,73.0,0.0,0.2857142857142857,Happy Valley,0.0,0.25,TURF,GOOD,4.0,0.25,2026-06-24,4.0,73.0,B/TT,0.1818181818181818,0.0,K037,4.5,0.1666666666666666,1.0,['B/TT'],,,,,,,,
DEVAS TWELVE,56.0,0.25,0.0,Sha Tin,0.0,0.1666666666666666,TURF,GOOD TO FIRM,4.75,0.25,2026-03-15,4.0,56.0,TT,0.3333333333333333,0.0,H435,2.833333333333333,0.1666666666666666,1.0,['TT'],4.0,25.0,0.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DIRIYA,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,9.75,0.0,2026-05-03,4.0,37.0,TT-,0.0,0.0,K282,5.5,0.0,1.0,[],6.0,28.0,27.0,14/09/2026,Gallop,31.0 25.7 (56.7) (B Avdulla),0.0,
DO YOUR PART,60.0,0.1111111111111111,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD,2.75,0.0,2026-06-27,4.0,70.0,XB/TT,0.1428571428571428,0.0,J444,3.083333333333333,0.0833333333333333,1.0,['XB/TT'],,,,,,,,
DOUBLE ALPHA,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.666666666666667,0.0,2026-07-15,4.0,53.0,TT,0.0,1.0,L291,2.333333333333333,0.0,1.0,[],,,,,,,,
DOUBLE BINGO,33.0,0.1428571428571428,0.2,Happy Valley,0.0,0.2222222222222222,TURF,GOOD TO FIRM,2.0,0.25,2026-07-12,4.0,33.0,,0.3333333333333333,0.0,J309,8.181818181818182,0.0,1.0,['P'],6.0,27.0,26.0,24/09/2026,Swimming,nan,0.0,
DRACO,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.0,0.0,2026-07-12,4.0,30.0,TT,0.0,1.0,J115,10.416666666666666,0.0,1.0,[],3.0,26.0,25.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DRAGON AIR FORCE,73.0,0.0909090909090909,0.0,Sha Tin,0.1,0.0,AWT,GOOD,9.75,0.0,2026-06-13,4.0,79.0,TT,0.0,0.0,J279,6.916666666666667,0.0833333333333333,1.0,['TT'],9.0,31.0,30.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DRAGON FOUR SEAS,72.0,0.0,0.1428571428571428,Happy Valley,0.0,0.1,TURF,GOOD TO FIRM,8.5,0.0,2026-07-08,4.0,64.0,B/TT,0.0,1.0,J317,6.666666666666667,0.0,1.0,['B'],5.0,22.0,26.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
DRAGON JOY,,,,,,,,,,,,,,,,1.0,J278,,,1.0,,6.0,28.0,20.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
DREAMING TOGETHER,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,9.25,0.0,2026-06-13,4.0,66.0,,0.0,0.0,L215,9.4,0.0,1.0,[],,,,,,,,
E HO HO,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,10.0,0.0,2026-07-04,4.0,52.0,B2/TT,0.0,0.0,L119,6.222222222222222,0.0,1.0,[],6.0,31.0,15.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ELEGANT LIFE,47.0,0.0,0.5,Happy Valley,0.0,0.1666666666666666,TURF,GOOD,5.25,0.25,2026-06-27,4.0,56.0,B/TT,0.1,0.0,J366,5.75,0.2857142857142857,1.0,['B/TT'],4.0,27.0,23.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
EMBRACES,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,4.5,0.0,2026-07-01,4.0,69.0,CP-/V1/TT,0.0,0.0,J276,8.75,0.0,1.0,[],5.0,28.0,0.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
ENDEARED,,,,,,,,,,,,,,,,1.0,H161,,,1.0,,0.0,0.0,0.0,,,,0.0,
ENJOY GOLF,38.0,0.1,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD TO FIRM,2.75,0.25,2026-07-12,4.0,45.0,B,0.1428571428571428,0.0,J222,4.666666666666667,0.1666666666666666,1.0,['B'],7.0,30.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ETALON OR,54.0,0.0833333333333333,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD,3.75,0.25,2026-01-01,4.0,60.0,B,0.0,0.0,J273,8.083333333333334,0.1111111111111111,1.0,['B'],4.0,30.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ETERNAL FORTUNE,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,5.75,0.0,2026-07-08,4.0,73.0,B/TT,0.0,1.0,K010,3.9166666666666665,0.0,1.0,[],5.0,31.0,29.0,14/09/2026,Gallop,27.3 23.9 (51.2) (R Kingscote),0.0,
EVER LUCK,60.0,0.3333333333333333,0.0,Sha Tin,0.0,0.2857142857142857,TURF,GOOD TO FIRM,6.75,0.25,2026-06-10,4.0,67.0,B,0.2,0.0,K235,4.0,0.0,1.0,['CP-/B1'],5.0,24.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
EVERSTAR,58.0,0.0,0.1428571428571428,Happy Valley,0.0,0.1111111111111111,TURF,GOOD TO FIRM,8.25,0.0,2026-07-04,4.0,48.0,,0.0909090909090909,1.0,K264,7.727272727272727,0.0,1.0,['CP'],8.0,27.0,25.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
EXCEED THE WISH,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,5.5,0.0,2026-07-12,4.0,27.0,H,0.0,1.0,J480,7.916666666666667,0.0,1.0,[],6.0,30.0,1.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FALLON,,,,,,,,,,,,,,,,0.0,H219,,,1.0,,4.0,29.0,30.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FAMILY FORTUNE,37.0,0.0,0.6,Happy Valley,0.0,0.3,TURF,GOOD TO FIRM,4.0,0.25,2026-07-01,4.0,43.0,TT,0.0,0.0,H447,9.416666666666666,0.2727272727272727,1.0,['TT'],4.0,27.0,0.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
FAST RESPONDER,71.0,0.0833333333333333,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD TO FIRM,4.25,0.25,2026-07-01,4.0,77.0,B,0.0833333333333333,0.0,J295,6.666666666666667,0.3333333333333333,1.0,['B'],6.0,19.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FIREFOOT,40.0,0.1111111111111111,0.0,Sha Tin,0.1428571428571428,0.0,AWT,GOOD TO YIELDING,2.5,0.25,2026-07-15,4.0,47.0,B/TT,0.1111111111111111,0.0,J183,6.0,0.0,1.0,['V-/B2/TT'],,,,,,,,
FIT FOR BEAUTY,65.0,0.25,0.0,Sha Tin,0.0,0.25,TURF,GOOD TO FIRM,5.0,0.0,2026-06-27,4.0,73.0,H,0.2222222222222222,0.0,K489,6.916666666666667,0.2,1.0,"['H', 'H1']",7.0,30.0,28.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FLASH STAR,41.0,0.0,0.125,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,9.0,0.0,2026-09-09,4.0,40.0,TT,0.1,0.0,K431,7.272727272727272,0.0,1.0,['H/TT'],,,,,,,,
FLOW WATER FLOW,63.0,0.5,0.0,Sha Tin,0.0,0.3333333333333333,TURF,GOOD,2.25,0.5,2026-07-01,4.0,70.0,B,0.5,1.0,K562,9.333333333333334,0.4,1.0,['B'],8.0,30.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FLOWING RICHES,,,,,,,,,,,,,,,,0.0,K293,,,1.0,,4.0,26.0,25.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FLUORESCENCE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,11.0,0.0,2026-06-13,4.0,55.0,B/TT,0.0,0.0,L124,10.0,0.0,1.0,[],7.0,31.0,25.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
FLYING BOOM,47.0,0.0909090909090909,0.0,Sha Tin,0.0,0.0909090909090909,TURF,GOOD,7.5,0.0,2026-07-01,4.0,50.0,XB,0.2,0.0,K327,8.909090909090908,0.0,1.0,['XB1/TT-'],6.0,20.0,18.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FLYING KNIGHT,57.0,0.1818181818181818,0.0,Sha Tin,0.0,0.1666666666666666,TURF,GOOD,2.5,0.5,2026-07-15,4.0,63.0,B/TT,0.0,0.0,K370,7.0,0.2857142857142857,1.0,['B/TT'],3.0,24.0,26.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FLYING LUCK,,,,,,,,,,,,,,,,1.0,J339,,,1.0,,3.0,26.0,23.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
FLYING TING LOK,,,,,,,,,,,,,,,,0.0,K228,,,1.0,,6.0,27.0,19.0,23/09/2026,Race,1000M (H Y Yuen) (10/12),0.0,
FORERUNNER,50.0,0.0,0.125,Happy Valley,0.0,0.0909090909090909,TURF,GOOD,2.25,0.25,2026-07-08,4.0,56.0,CP/TT,0.1428571428571428,0.0,G465,7.5,0.2,1.0,['CP/TT'],,,,,,,,
FOREVER FANCY,,,,,,,,,,,,,,,,0.0,K354,,,1.0,,3.0,24.0,26.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FORTUNATE SON,60.0,0.0,0.0909090909090909,Happy Valley,0.0,0.0909090909090909,TURF,GOOD,5.75,0.0,2026-07-08,4.0,65.0,TT,0.0,0.0,J446,7.181818181818182,0.0909090909090909,1.0,['TT'],,,,,,,,
FORTUNE KINGO,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.75,0.0,2026-07-01,4.0,36.0,B,0.0,0.0,K457,9.0,0.0,1.0,[],6.0,23.0,30.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FORTUNE SUPERNOVA,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,8.5,0.0,2026-09-09,4.0,39.0,TT,0.0,0.0,K287,8.0,0.0,1.0,[],3.0,22.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
FORZA LEADER,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,3.75,0.0,2026-09-09,4.0,43.0,TT,0.0,0.0,L034,9.083333333333334,0.0,1.0,[],5.0,26.0,11.0,14/09/2026,Trotting,TroR TroR Canter (R.B.),0.0,
FORZA TORO,,,,,,,,,,,,,,,,1.0,K355,,,1.0,,3.0,25.0,19.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
FOUR STARS ALIGN,,,,,,,,,,,,,,,,0.0,L481,,,1.0,,6.0,30.0,30.0,25/09/2026,Trotting,SmT 1 Round - Fast (Y L Chung),0.0,
FRANCIS MEYNELL,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,6.75,0.0,2026-09-09,4.0,46.0,B-/TT,0.0,0.0,J394,4.833333333333333,0.0,1.0,[],,,,,,,,
FRIENDS OF SHAJING,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,5.0,0.0,2026-07-08,4.0,63.0,TT,0.0,0.0,K202,5.0,0.0,1.0,[],6.0,29.0,27.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
GALAXY PATCH,,,,,,,,,,,,,,,,0.0,H399,,,1.0,,6.0,25.0,1.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GENERAL REDWOOD,54.0,0.0,0.2857142857142857,Happy Valley,0.0,0.25,TURF,GOOD,5.75,0.25,2026-09-09,4.0,60.0,CP/TT,0.2857142857142857,0.0,L102,5.5,0.2857142857142857,1.0,['CP/TT'],,,,,,,,
GENEVA,,,,,,,,,,,,,,,,1.0,J114,,,1.0,,7.0,22.0,0.0,25/09/2026,Gallop,32.3 (32.3) (R.B.),0.0,
GENIUS BABY,48.0,0.0,0.1428571428571428,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,3.75,0.0,2026-07-15,4.0,51.0,CP-/XB/V1/TT,0.0909090909090909,0.0,K132,7.916666666666667,0.0,1.0,['XB/TT'],6.0,19.0,19.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
GEORGIAN SIGMA,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,5.0,0.0,2026-06-24,4.0,54.0,B,0.0,0.0,L007,2.5,0.0,1.0,[],,,,,,,,
GHORGAN,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.75,0.0,2026-06-27,4.0,56.0,H/TT,0.0,0.0,K199,6.75,0.0,1.0,[],7.0,29.0,25.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GIANT LEAP,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.75,0.0,2026-07-15,4.0,56.0,E/V,0.0,0.0,J143,3.9166666666666665,0.0,1.0,[],9.0,29.0,28.0,14/09/2026,Gallop,30.9 24.2 (55.1) (R.B.),0.0,
GIANT SPIRIT,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,10.25,0.0,2026-09-09,4.0,50.0,B,0.0,0.0,L169,4.125,0.0,1.0,[],6.0,25.0,0.0,25/09/2026,Trotting,SmT 2 Round - Fast (H T Mo),0.0,
GIMME FIVE,,,,,,,,,,,,,,,,0.0,J099,,,1.0,,4.0,25.0,13.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
GLACIATED,,,,,,,,,,,,,,,,1.0,K272,,,1.0,,5.0,26.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GLORIOUS DYNASTY,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,9.0,0.0,2026-06-21,4.0,64.0,,0.0,0.0,L315,6.0,0.0,1.0,[],6.0,23.0,29.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
GLORIOUS RYDER,39.0,0.0,0.1428571428571428,Happy Valley,0.0,0.0909090909090909,TURF,GOOD TO FIRM,10.25,0.0,2026-07-04,4.0,41.0,B,0.0,0.0,K290,10.083333333333334,0.0,1.0,['B/TT'],4.0,18.0,15.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GLOWING PRAISES,,,,,,,,,,,,,,,,0.0,L223,,,1.0,,6.0,22.0,21.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GOLDEN ELITE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.0,0.0,,4.0,,,0.0,0.0,L353,6.0,0.0,1.0,[],7.0,24.0,28.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GOLDEN FRIENDSHIP,39.0,0.0,0.0909090909090909,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,4.0,0.0,2026-07-08,4.0,42.0,B/TT,0.0,1.0,K106,4.333333333333333,0.0833333333333333,1.0,['B/TT'],6.0,28.0,28.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (A.T.),0.0,
GOLDEN GUNNERS,,,,,,,,,,,,,,,,0.0,L306,,,1.0,,3.0,26.0,22.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
GOOD GOOD,48.0,0.1,0.0,Sha Tin,0.0,0.1,TURF,GOOD,7.5,0.0,2026-03-15,4.0,49.0,B-/PC2,0.0,0.0,J224,2.6666666666666665,0.0,1.0,['V-/B2'],6.0,28.0,26.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GOOD LUCK HAPPY,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.5,0.0,2026-07-08,4.0,55.0,TT,0.0,1.0,K301,4.833333333333333,0.0,1.0,[],,,,,,,,
GOOD POWER,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,9.0,0.0,2026-07-01,4.0,52.0,H1,0.0,0.0,L228,10.0,0.0,1.0,[],6.0,27.0,12.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GOR GOR,42.0,0.1,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD TO FIRM,7.5,0.0,2026-07-12,4.0,43.0,,0.0,1.0,K104,8.833333333333334,0.0,1.0,[],6.0,30.0,5.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GORGEOUS VICTORY,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO YIELDING,4.5,0.0,2026-07-15,4.0,47.0,TT,0.0,0.0,L087,7.555555555555555,0.0,1.0,[],6.0,30.0,28.0,12/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
GRAND TURBO,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.0,0.0,2026-07-04,4.0,44.0,B/TT,0.0,0.0,L138,11.714285714285714,0.0,1.0,[],5.0,31.0,26.0,12/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
GRATIFIDE,55.0,0.0,0.25,Happy Valley,0.0,0.1428571428571428,TURF,GOOD,6.5,0.25,2026-07-15,4.0,55.0,B,0.5,0.0,K550,8.428571428571429,1.0,1.0,['B'],3.0,21.0,29.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
GREEN AUTUMN,,,,,,,,,,,,,,,,0.0,L352,,,1.0,,7.0,30.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GREEN FIELD PEARL,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.75,0.0,2026-07-01,4.0,50.0,XB1/TT-,0.0,1.0,K460,8.666666666666666,0.0,1.0,[],6.0,25.0,28.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
GRIT SPIRIT,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,11.75,0.0,2026-06-27,4.0,60.0,XB/CP1/TT,0.0,0.0,L116,10.25,0.0,1.0,[],8.0,30.0,27.0,14/09/2026,Gallop,29.2 24.3 (53.5) (C L Chau),0.0,
GROUPER,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO YIELDING,4.75,0.0,2026-09-06,4.0,52.0,B/TT,0.0,0.0,L233,3.8333333333333335,0.0,1.0,[],5.0,29.0,28.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
GULU GOGO,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,6.0,0.0,2026-07-04,4.0,65.0,,0.0,0.0,L377,10.0,0.0,1.0,[],6.0,29.0,28.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HANDSOME BLOND,,,,,,,,,,,,,,,,0.0,K241,,,1.0,,5.0,22.0,24.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HANDSOME HERO,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.0,0.0,2026-07-01,4.0,52.0,,0.0,0.0,L346,6.0,0.0,1.0,[],4.0,25.0,27.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HAPPY ACTION,,,,,,,,,,,,,,,,0.0,K399,,,1.0,,5.0,23.0,0.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HAPPY SHOOTER,48.0,0.1,0.0,Sha Tin,0.0,0.1,TURF,Unknown,4.75,0.0,2026-06-13,4.0,58.0,TT,0.1,0.0,J427,6.909090909090909,0.1111111111111111,1.0,['TT'],5.0,31.0,29.0,12/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
HARMONY FIRE,49.0,0.0,0.0833333333333333,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,3.75,0.0,2026-07-08,4.0,50.0,B/TT,0.0833333333333333,0.0,E175,5.416666666666667,0.0909090909090909,1.0,['B/TT'],,,,,,,,
HARMONY N BLESSED,71.0,0.0,0.1111111111111111,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,5.25,0.25,2026-07-15,4.0,71.0,B/TT,0.0909090909090909,0.0,E061,2.75,0.1,1.0,['B/TT'],,,,,,,,
HAROLD WIN,,,,,,,,,,,,,,,,0.0,J280,,,1.0,,5.0,22.0,26.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HARVEST MOON,,,,,,,,,,,,,,,,0.0,L419,,,1.0,,6.0,22.0,28.0,25/09/2026,Trotting,TroR TroR Canter (R.B.),0.0,
HE WAS ME,29.0,0.2,0.0,Sha Tin,0.0,0.1666666666666666,TURF,GOOD TO FIRM,4.75,0.25,2026-07-01,4.0,35.0,B/TT,0.25,1.0,J535,4.5,0.1666666666666666,1.0,['B/TT'],6.0,30.0,30.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HELENE FEELING,98.0,0.0,0.25,Happy Valley,0.0,0.1818181818181818,TURF,GOOD,7.25,0.0,2026-07-12,4.0,96.0,B/TT,0.0,0.0,H215,7.5,0.1666666666666666,1.0,['B/TT'],0.0,0.0,0.0,,,,0.0,
HELIOS EXPRESS,,,,,,,,,,,,,,,,0.0,H302,,,1.0,,8.0,29.0,28.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HERBAL STAR,,,,,,,,,,,,,,,,1.0,L053,,,1.0,,6.0,30.0,25.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
HERO MASTERMIND,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,10.0,0.0,2026-06-21,4.0,52.0,BL1,0.0,0.0,L391,7.0,0.0,1.0,[],3.0,25.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HERO RISING,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,6.0,0.0,2026-06-21,4.0,52.0,,0.0,0.0,L294,11.0,0.0,1.0,[],6.0,23.0,27.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HEY BROS,,,,,,,,,,,,,,,,0.0,L150,,,1.0,,5.0,23.0,18.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HIGH PRAISE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,11.333333333333334,0.0,2026-07-04,4.0,63.0,CP1/TT,0.0,0.0,L316,7.0,0.0,1.0,[],5.0,28.0,24.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
HIGHLAND RAHY,69.0,0.0,0.0833333333333333,Happy Valley,0.0,0.0833333333333333,TURF,GOOD TO FIRM,6.0,0.0,2026-05-27,4.0,70.0,B/TT,0.125,0.0,J298,2.083333333333333,0.0833333333333333,1.0,['B/TT'],8.0,27.0,29.0,14/09/2026,Gallop,28.8 26.2 (55.0) (R.B.),0.0,
HOLMES A COURT,48.0,0.0,0.25,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,4.5,0.25,2026-06-10,4.0,48.0,V-/B2/TT-,0.1111111111111111,0.0,J511,5.416666666666667,1.0,1.0,['V-/B2/TT-'],2.0,23.0,25.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
