Distance,Class,Horse Name,Time,Weight(lbs),Date
1200,3,NORDIC WARRIOR,1.09.28,122,23.3.2019
1800,5,DRAGON WARRIOR,1.49.60,127,23.3.2019
2200,4,HAPPY ROCKY,2.19.16,125,23.3.2019
