race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id
8,4,2816,9,0.0,7.0,3,NZ,Gelding,60,--,1148.0,130,12,2,2,3,9.0,,,1.0,2.0,2.5,7.0,,,13.47,22.36,24.0,23.88,,,83.71,11.0,3.3,118,2
8,5,4121,2,0.0,0.15,3,AUS,Gelding,60,--,1142.0,129,1,5,5,4,2.0,,,2.75,6.0,3.25,0.15,,,13.75,22.72,23.48,22.66,,,82.61,4.9,1.6,7,115
8,6,389,11,0.0,8.25,3,AUS,Gelding,60,--,1144.0,126,4,10,9,9,11.0,,,5.5,8.75,5.75,8.25,,,14.19,22.72,23.44,23.56,,,83.91,55.0,9.6,138,34
8,7,3696,1,1.0,0.0,3,NZ,Gelding,60,--,1101.0,125,3,6,6,5,1.0,,,3.5,7.0,4.0,0.15,,,13.87,22.76,23.44,22.52,,,82.59,2.4,1.2,69,162
8,8,303,14,0.0,999.0,3,GB,Brown,60,--,1030.0,120,6,13,14,14,14.0,,,7.5,12.25,11.75,999.0,,,14.51,22.96,23.84,26.68,,,87.99,60.0,12.0,54,38
8,9,3349,5,0.0,2.5,3,AUS,Brown,60,--,1119.0,118,10,9,11,10,5.0,,,5.0,10.0,5.75,2.5,,,14.11,23.0,23.24,22.63,,,82.98,6.5,2.0,137,128
8,10,3196,6,0.0,2.75,3,AUS,Gelding,60,--,1110.0,120,9,12,12,12,6.0,,,6.75,11.0,7.25,2.75,,,14.39,22.88,23.32,22.43,,,83.02,67.0,17.0,70,138
8,11,1789,8,0.0,5.5,3,USA,Gelding,60,--,1031.0,113,13,11,10,11,8.0,,,6.0,9.5,6.0,5.5,,,14.27,22.76,23.36,23.09,,,83.48,99.0,26.0,55,155
8,12,1109,13,0.0,11.25,3,USA,Gelding,60,--,1058.0,109,8,14,13,13,13.0,,,8.75,12.0,10.25,11.25,,,14.71,22.72,23.64,23.34,,,84.41,99.0,46.0,109,59
8,13,3583,10,0.0,8.0,3,AUS,Brown,60,--,1184.0,113,5,3,3,2,10.0,,,1.75,3.5,2.25,8.0,,,13.59,22.48,23.72,24.06,,,83.85,13.0,3.3,164,151
8,14,4035,12,0.0,8.5,3,AUS,Gelding,60,--,1095.0,109,2,4,4,6,12.0,,,2.5,4.75,4.75,8.5,,,13.71,22.56,23.92,23.77,,,83.96,99.0,29.0,117,52
9,1,3451,1,1.0,0.0,3,NZ,Gelding,60,--,1046.0,133,10,9,9,1,,,,3.5,3.0,0.25,,,,24.64,23.37,22.18,,,,70.19,20.0,4.9,69,183
9,2,3306,13,0.0,5.25,3,USA,Gelding,60,--,1130.0,133,5,5,6,13,,,,1.5,2.0,5.25,,,,24.32,23.53,23.17,,,,71.02,19.0,6.9,118,64
9,3,1444,8,0.0,2.75,3,NZ,Gelding,60,--,1210.0,129,3,3,4,8,,,,1.5,1.25,2.75,,,,24.32,23.41,22.9,,,,70.63,12.0,4.2,38,162
9,4,541,7,0.0,2.25,3,AUS,Gelding,60,--,1074.0,131,6,13,11,7,,,,6.0,3.75,2.25,,,,25.04,23.09,22.43,,,,70.56,8.6,3.2,97,69
9,5,540,11,0.0,4.5,3,AUS,Gelding,60,--,1050.0,126,12,10,10,11,,,,3.75,3.25,4.5,,,,24.68,23.37,22.85,,,,70.9,19.0,4.6,55,138
9,6,3668,3,0.0,1.25,3,AUS,Gelding,60,--,1205.0,124,14,2,2,3,,,,0.25,0.25,1.25,,,,24.12,23.45,22.79,,,,70.36,3.3,1.4,7,115
9,7,3422,4,0.0,1.25,3,AUS,Gelding,60,--,1040.0,124,8,7,7,4,,,,2.5,2.5,1.25,,,,24.48,23.45,22.44,,,,70.37,16.0,4.1,98,2
9,8,908,12,0.0,5.25,3,AUS,Gelding,60,--,1148.0,120,2,8,8,12,,,,3.5,3.0,5.25,,,,24.64,23.37,23.0,,,,71.01,72.0,17.0,54,34
9,9,3683,9,0.0,3.25,3,NZ,Gelding,60,--,1186.0,120,7,1,1,9,,,,0.25,0.25,3.25,,,,24.08,23.45,23.16,,,,70.69,4.0,1.6,117,154
9,10,4043,14,0.0,6.75,3,GB,Gelding,60,--,1054.0,116,4,14,14,14,,,,7.0,4.75,6.75,,,,25.2,23.09,22.99,,,,71.28,75.0,17.0,75,131
9,11,2053,10,0.0,4.25,3,NZ,Gelding,60,--,1079.0,119,1,12,12,10,,,,5.5,4.25,4.25,,,,24.96,23.25,22.65,,,,70.86,8.5,2.5,4,18
9,12,3842,6,0.0,2.25,3,AUS,Gelding,60,--,1087.0,115,9,4,3,6,,,,1.5,1.0,2.25,,,,24.32,23.37,22.87,,,,70.56,25.0,5.3,47,155
9,13,3117,2,0.0,0.25,3,AUS,Brown,60,--,1146.0,111,13,11,13,2,,,,5.25,4.5,0.25,,,,24.92,23.33,22.0,,,,70.25,15.0,4.5,80,59
9,14,477,5,0.0,1.5,3,IRE,Gelding,60,--,1071.0,113,11,6,5,5,,,,2.25,1.75,1.5,,,,24.44,23.37,22.6,,,,70.41,99.0,38.0,128,151
10,1,875,3,0.0,1.5,3,NZ,Gelding,60,--,1093.0,128,9,1,1,1,3.0,,,0.25,0.25,1.25,1.5,,,27.53,25.12,24.16,24.74,,,101.55,4.3,1.5,97,149
10,2,1016,1,1.0,0.0,3,USA,Gelding,60,--,1011.0,132,1,4,3,3,1.0,,,2.5,1.5,2.25,0.75,,,27.93,24.96,24.28,24.12,,,101.29,5.0,1.8,75,18
10,3,2428,10,0.0,6.25,3,IRE,Gelding,60,--,1058.0,125,12,12,12,12,10.0,,,11.25,9.25,9.0,6.25,,,29.33,24.8,24.12,24.01,,,102.26,79.0,18.0,9,38
10,4,1874,4,0.0,2.0,3,NZ,Gelding,60,--,1120.0,127,2,5,5,5,4.0,,,4.25,3.5,4.0,2.0,,,28.21,25.0,24.24,24.15,,,101.6,13.0,3.9,63,64
10,5,2103,12,0.0,13.25,3,NZ,Gelding,60,--,1180.0,125,5,10,11,11,12.0,,,9.25,8.0,9.0,13.25,,,29.01,24.92,24.32,25.13,,,103.38,36.0,10.0,38,138
10,6,809,7,0.0,2.75,3,IRE,Gelding,60,--,970.0,124,6,9,9,8,7.0,,,7.0,6.75,6.5,2.75,,,28.65,25.08,24.12,23.9,,,101.75,5.1,1.9,54,2
10,7,2967,2,0.0,0.75,3,AUS,Gelding,60,--,1062.0,122,3,7,8,10,2.0,,,5.75,5.75,7.5,0.75,,,28.45,25.12,24.44,23.41,,,101.42,7.9,2.7,55,34
10,8,1510,5,0.0,2.25,3,NZ,Gelding,60,--,1161.0,117,8,3,2,2,5.0,,,1.75,0.25,1.25,2.25,,,27.81,24.88,24.32,24.62,,,101.63,28.0,7.4,128,151
10,9,1322,6,0.0,2.75,3,AUS,Gelding,60,--,1109.0,120,7,8,7,6,6.0,,,6.0,5.0,5.25,2.75,,,28.49,24.96,24.2,24.09,,,101.74,8.8,2.3,109,145
10,10,3869,11,0.0,12.25,3,NZ,Gelding,60,--,1121.0,113,4,6,6,7,11.0,,,4.25,3.75,6.25,12.25,,,28.21,25.04,24.56,25.42,,,103.23,15.0,4.1,117,131
10,11,1207,9,0.0,3.75,3,AUS,Gelding,60,--,1126.0,110,10,11,10,9,9.0,,,9.75,6.75,6.75,3.75,,,29.09,24.64,24.16,24.01,,,101.9,8.4,3.6,137,128
10,12,2990,8,0.0,3.25,3,AUS,Gelding,60,--,1118.0,113,11,2,4,4,8.0,,,0.25,1.5,2.75,3.25,,,27.57,25.32,24.36,24.58,,,101.83,74.0,18.0,132,162
11,1,4349,12,0.0,13.5,3,NZ,Gelding,60,--,967.0,133,3,2,2,2,12.0,,,0.75,1.5,1.5,13.5,,,27.79,24.01,25.42,25.78,,,103.0,6.3,2.4,69,183
11,2,1774,1,1.0,0.0,3,NZ,Gelding,60,--,1085.0,131,6,9,9,9,1.0,,,6.75,8.0,5.75,2.25,,,28.75,24.09,25.06,22.94,,,100.84,5.9,2.3,75,18
11,3,177,10,0.0,9.0,3,AUS,Rig,60,--,1089.0,129,1,7,7,6,10.0,,,5.25,5.5,4.25,9.0,,,28.51,23.93,25.22,24.62,,,102.28,5.1,1.6,132,64
11,4,1336,3,0.0,3.5,3,IRE,Gelding,60,--,1082.0,123,11,8,8,8,3.0,,,5.75,6.0,4.5,3.5,,,28.59,23.93,25.18,23.68,,,101.38,8.4,2.6,47,2
11,5,1399,6,0.0,5.5,3,AUS,Gelding,60,--,1168.0,122,9,11,11,11,6.0,,,8.75,9.5,7.5,5.5,,,29.07,24.01,25.1,23.52,,,101.7,15.0,4.3,98,115
11,6,2797,8,0.0,7.75,3,IRE,Gelding,60,--,1112.0,121,7,12,12,12,8.0,,,10.0,11.0,7.75,7.75,,,29.27,24.05,24.9,23.88,,,102.1,42.0,9.1,38,154
11,7,3694,5,0.0,5.25,3,CAN,Brown,60,--,1130.0,118,4,6,5,7,5.0,,,4.5,4.5,4.5,5.25,,,28.39,23.89,25.42,23.95,,,101.65,30.0,9.0,128,151
11,8,1581,7,0.0,7.25,3,AUS,Gelding,60,--,1139.0,120,12,1,1,1,7.0,,,0.75,1.5,1.5,7.25,,,27.67,23.89,25.42,25.03,,,102.01,20.0,6.6,138,138
11,9,1675,2,0.0,2.25,3,IRE,Gelding,60,--,1077.0,118,8,4,4,4,2.0,,,2.25,3.0,2.75,2.25,,,28.03,24.01,25.38,23.75,,,101.17,5.2,1.8,9,69
11,10,3458,11,0.0,11.25,3,USA,Gelding,60,--,1139.0,113,5,10,10,10,11.0,,,8.0,9.25,7.0,11.25,,,28.95,24.09,25.06,24.53,,,102.63,34.0,9.3,54,162
11,11,2502,9,0.0,8.25,3,AUS,Gelding,60,--,971.0,111,2,3,3,3,9.0,,,2.25,2.0,2.0,8.25,,,28.03,23.85,25.42,24.87,,,102.17,8.4,2.5,47,38
11,12,3161,4,0.0,3.75,3,USA,Gelding,60,--,1063.0,109,10,5,6,5,4.0,,,4.25,5.0,3.25,3.75,,,28.35,24.01,25.14,23.94,,,101.44,16.0,5.8,97,149
12,1,3124,1,1.0,0.0,3,NZ,Gelding,60,--,1037.0,133,8,7,7,1,,,,4.75,4.25,0.15,,,,24.68,23.03,22.7,,,,70.41,3.5,1.4,55,18
12,2,3393,9,0.0,4.5,3,GB,Horse,60,--,1027.0,133,9,11,11,9,,,,7.75,8.0,4.5,,,,25.16,23.15,22.83,,,,71.14,62.0,18.0,109,145
12,3,2094,8,0.0,4.25,3,IRE,Brown,60,--,1180.0,131,3,4,4,8,,,,2.0,1.5,4.25,,,,24.24,23.03,23.83,,,,71.1,14.0,5.2,118,2
12,4,4374,7,0.0,3.75,3,AUS,Gelding,60,--,1102.0,129,10,1,1,7,,,,1.25,0.5,3.75,,,,23.92,23.11,23.99,,,,71.02,9.0,2.5,98,64
12,5,2495,11,0.0,4.75,3,AUS,Gelding,60,--,1079.0,126,1,5,6,11,,,,3.25,3.25,4.75,,,,24.44,23.11,23.62,,,,71.17,8.4,2.5,54,34
12,6,907,2,0.0,0.15,3,AUS,Gelding,60,--,1137.0,126,2,2,3,2,,,,1.25,1.25,0.15,,,,24.12,23.11,23.19,,,,70.42,6.2,2.3,97,138
12,7,2966,3,0.0,1.0,3,NZ,Gelding,60,--,1091.0,125,7,10,10,3,,,,7.0,6.5,1.0,,,,25.04,23.03,22.5,,,,70.57,4.5,1.5,7,115
12,8,1360,4,0.0,2.25,3,NZ,Gelding,60,--,999.0,124,5,8,8,4,,,,5.0,5.5,2.25,,,,24.72,23.19,22.87,,,,70.78,15.0,6.1,137,183
12,9,3082,6,0.0,3.0,3,NZ,Gelding,60,--,1097.0,123,11,3,2,6,,,,2.0,0.5,3.0,,,,24.24,22.87,23.76,,,,70.87,26.0,7.0,128,69
12,10,3608,5,0.0,2.5,3,AUS,Gelding,60,--,1165.0,120,4,9,9,5,,,,6.5,5.75,2.5,,,,24.96,22.99,22.86,,,,70.81,16.0,4.3,63,151
