race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id
0,1,3917,10,0.0,8.0,3,AUS,Gelding,60,--,1020.0,133,7,6,4,6,10.0,,,2.0,2.0,1.5,8.0,,,13.85,21.59,23.86,24.62,,,83.92,9.7,3.7,118,2
0,2,2157,8,0.0,5.75,3,NZ,Gelding,60,--,980.0,133,12,12,13,13,8.0,,,6.5,9.0,5.0,5.75,,,14.57,21.99,23.3,23.7,,,83.56,16.0,4.9,164,57
0,3,858,7,0.0,4.75,3,NZ,Gelding,60,--,1082.0,132,8,3,2,2,7.0,,,1.0,1.0,0.75,4.75,,,13.69,21.59,23.9,24.22,,,83.4,3.5,1.5,137,18
0,4,1853,9,0.0,6.25,3,SAF,Gelding,60,--,1118.0,127,13,8,8,11,9.0,,,3.5,5.0,3.5,6.25,,,14.09,21.83,23.7,24.0,,,83.62,39.0,11.0,80,59
0,5,2796,6,0.0,3.75,3,GB,Gelding,60,--,972.0,131,14,13,12,12,6.0,,,7.75,8.75,4.25,3.75,,,14.77,21.75,23.22,23.5,,,83.24,50.0,14.0,9,154
0,6,3296,3,0.0,1.25,3,NZ,Gelding,60,--,1114.0,127,5,11,11,5,3.0,,,5.0,7.75,1.25,1.25,,,14.33,22.03,22.9,23.57,,,82.83,7.0,1.8,54,34
0,7,911,12,0.0,9.5,3,NZ,Gelding,60,--,978.0,123,11,1,1,1,12.0,,,0.75,1.0,0.75,9.5,,,13.53,21.59,23.94,25.09,,,84.15,99.0,28.0,55,149
0,8,2170,1,1.0,0.0,3,AUS,Gelding,60,--,1170.0,128,2,9,9,10,1.0,,,3.75,5.5,3.25,0.75,,,14.13,21.87,23.58,23.06,,,82.64,12.0,3.6,47,183
0,9,1730,13,0.0,9.75,3,NZ,Gelding,60,--,1126.0,123,6,2,3,3,13.0,,,0.75,1.5,1.25,9.75,,,13.65,21.71,23.9,24.94,,,84.2,38.0,13.0,75,131
0,10,2998,14,0.0,999.0,3,AUS,Mare,60,--,1072.0,125,9,14,14,14,14.0,,,9.5,14.0,16.75,999.0,,,15.05,22.31,24.38,30.46,,,92.2,39.0,12.0,109,145
0,11,1733,2,0.0,0.75,3,NZ,Gelding,60,--,1135.0,123,3,7,7,4,2.0,,,2.75,3.75,1.25,0.75,,,13.97,21.75,23.54,23.51,,,82.77,8.6,2.5,4,155
0,12,2617,4,0.0,2.25,3,AUS,Gelding,60,--,1018.0,123,10,10,10,9,4.0,,,4.5,6.5,2.5,2.25,,,14.25,21.91,23.3,23.52,,,82.98,23.0,8.5,7,115
0,13,727,11,0.0,8.25,3,USA,Gelding,60,--,1089.0,120,1,5,6,8,11.0,,,1.75,3.0,2.25,8.25,,,13.81,21.79,23.82,24.52,,,83.94,5.4,1.7,128,138
0,14,306,5,0.0,2.75,3,AUS,Gelding,60,--,1027.0,113,4,4,5,7,5.0,,,1.5,2.5,2.25,2.75,,,13.77,21.75,23.9,23.66,,,83.08,11.0,3.9,38,162
1,1,2397,12,0.0,10.0,3,NZ,Gelding,60,--,1078.0,128,9,11,13,12,,,,6.0,7.75,10.0,,,,25.01,22.92,24.05,,,,71.98,14.0,4.2,47,149
1,2,4181,10,0.0,6.75,3,NZ,Gelding,60,--,1257.0,132,8,12,11,10,,,,6.25,7.5,6.75,,,,25.05,22.84,23.58,,,,71.47,28.0,8.5,98,64
1,3,2814,8,0.0,3.75,3,AUS,Horse,60,--,1037.0,130,5,8,9,8,,,,4.5,6.25,3.75,,,,24.77,22.92,23.29,,,,70.98,7.0,1.7,75,183
1,4,905,3,0.0,2.25,3,AUS,Gelding,60,--,1168.0,126,11,14,14,3,,,,6.75,8.0,2.25,,,,25.13,22.84,22.75,,,,70.72,12.0,3.3,29,18
1,5,3915,1,1.0,0.0,3,AUS,Gelding,60,--,1148.0,125,10,5,4,1,,,,3.0,4.0,1.25,,,,24.53,22.8,23.06,,,,70.39,2.3,1.2,118,2
1,6,3865,11,0.0,8.5,3,NZ,Gelding,60,--,1057.0,121,2,4,5,11,,,,1.75,4.75,8.5,,,,24.33,23.12,24.32,,,,71.77,28.0,6.3,54,34
1,7,1926,14,0.0,21.75,3,NZ,Gelding,60,--,1064.0,122,13,13,12,14,,,,6.5,7.5,21.75,,,,25.09,22.8,26.0,,,,73.89,13.0,3.3,55,138
1,8,2330,5,0.0,2.75,3,NZ,Gelding,60,--,1132.0,117,7,3,3,5,,,,1.75,3.25,2.75,,,,24.33,22.88,23.59,,,,70.8,43.0,11.0,138,59
1,9,3744,9,0.0,6.25,3,NZ,Gelding,60,--,1081.0,121,12,9,10,9,,,,4.75,7.0,6.25,,,,24.81,23.0,23.6,,,,71.41,14.0,4.8,80,154
1,10,2772,4,0.0,2.5,3,AUS,Gelding,60,--,1059.0,121,1,6,6,4,,,,3.5,5.25,2.5,,,,24.61,22.92,23.23,,,,70.76,10.0,2.6,109,145
1,11,550,13,0.0,13.5,3,USA,Gelding,60,--,1106.0,118,14,7,8,13,,,,4.25,6.25,13.5,,,,24.73,22.96,24.85,,,,72.54,50.0,15.0,128,151
1,12,4244,7,0.0,3.25,3,AUS,Gelding,60,--,1095.0,103,3,1,1,7,,,,0.15,0.25,3.25,,,,24.05,22.64,24.18,,,,70.87,21.0,7.4,38,40
1,13,3605,2,0.0,1.25,3,AUS,Gelding,60,--,1060.0,113,6,2,2,2,,,,0.15,0.25,1.25,,,,24.05,22.68,23.83,,,,70.56,13.0,4.7,132,162
1,14,2813,6,0.0,2.75,3,AUS,Brown,60,--,1110.0,108,4,10,7,6,,,,5.0,6.0,2.75,,,,24.85,22.8,23.16,,,,70.81,47.0,16.0,137,128
2,1,2306,2,0.0,0.1,3,NZ,Gelding,60,--,1115.0,133,2,9,7,7,2.0,,,3.25,3.25,2.75,0.1,,,14.29,22.22,24.8,22.38,,,83.69,9.2,2.3,9,69
2,2,2650,10,0.0,3.75,3,NZ,Gelding,60,--,1091.0,126,10,10,12,10,10.0,,,3.25,7.25,4.75,3.75,,,14.29,22.86,24.48,22.67,,,84.3,99.0,36.0,128,128
2,3,803,12,0.0,4.75,3,GB,Gelding,60,--,1000.0,128,14,13,13,14,12.0,,,5.0,7.5,7.75,4.75,,,14.57,22.62,24.92,22.34,,,84.45,81.0,22.0,164,57
2,4,4048,6,0.0,1.75,3,USA,Brown,60,--,1106.0,127,6,2,2,1,6.0,,,0.25,1.0,0.15,1.75,,,13.81,22.34,24.72,23.11,,,83.98,3.5,1.5,132,138
2,5,3877,7,0.0,2.25,3,NZ,Gelding,60,--,1031.0,126,8,3,4,3,7.0,,,0.75,1.75,0.75,2.25,,,13.89,22.38,24.72,23.04,,,84.03,4.4,1.5,118,2
2,6,2800,8,0.0,3.5,3,NZ,Gelding,60,--,1068.0,125,3,14,9,11,8.0,,,5.25,4.5,5.5,3.5,,,14.61,22.1,25.04,22.5,,,84.25,65.0,23.0,137,183
2,7,133,11,0.0,4.25,3,NZ,Gelding,60,--,1151.0,123,12,12,14,13,11.0,,,3.75,8.5,7.0,4.25,,,14.37,22.98,24.64,22.37,,,84.36,99.0,25.0,75,151
2,8,3305,4,0.0,1.25,3,NZ,Gelding,60,--,1052.0,125,7,5,6,6,4.0,,,1.25,2.75,2.0,1.25,,,13.97,22.46,24.76,22.67,,,83.86,6.7,2.0,109,145
2,9,2172,9,0.0,3.5,3,AUS,Gelding,60,--,1122.0,125,9,7,8,9,9.0,,,2.5,4.0,3.5,3.5,,,14.17,22.46,24.8,22.82,,,84.25,7.9,3.0,97,18
2,10,2069,5,0.0,1.75,3,AUS,Gelding,60,--,1016.0,124,11,11,10,8,5.0,,,3.5,5.5,3.25,1.75,,,14.33,22.54,24.52,22.58,,,83.97,16.0,5.2,98,64
2,11,2162,1,1.0,0.0,3,AUS,Gelding,60,--,1149.0,122,4,6,5,4,1.0,,,1.5,2.5,1.5,0.1,,,14.01,22.38,24.72,22.58,,,83.69,7.0,2.3,7,115
2,12,1095,13,0.0,6.25,3,AUS,Gelding,60,--,1028.0,116,1,4,3,5,13.0,,,1.0,1.25,2.0,6.25,,,13.93,22.26,25.0,23.47,,,84.66,45.0,11.0,38,154
2,13,2012,3,0.0,0.25,3,NZ,Gelding,60,--,1029.0,110,13,1,1,2,3.0,,,0.25,1.0,0.15,0.25,,,13.77,22.22,24.88,22.87,,,83.74,22.0,5.9,80,59
2,14,1875,14,0.0,7.5,3,AUS,Gelding,60,--,1157.0,110,5,8,11,12,14.0,,,3.25,6.0,6.5,7.5,,,14.29,22.66,24.96,22.98,,,84.89,99.0,32.0,138,149
3,1,2973,5,0.0,2.25,3,AUS,Gelding,60,--,1093.0,133,3,8,8,5,,,,3.75,4.0,2.25,,,,24.93,22.51,21.79,,,,69.23,15.0,4.7,7,115
3,2,485,6,0.0,2.75,3,AUS,Gelding,60,--,1169.0,132,9,11,9,6,,,,6.0,4.5,2.75,,,,25.29,22.23,21.82,,,,69.34,11.0,3.1,97,18
3,3,2723,2,0.0,1.75,3,AUS,Gelding,60,--,1219.0,131,11,3,2,2,,,,1.0,0.25,1.75,,,,24.49,22.35,22.32,,,,69.16,8.2,2.4,69,183
3,4,3031,11,0.0,8.25,3,NZ,Gelding,60,--,1182.0,125,6,5,5,11,,,,2.0,2.75,8.25,,,,24.65,22.59,22.98,,,,70.22,44.0,11.0,138,138
